name,debut_year,members,gender,genre,city,region,popularity,image,track_title,track_link,track_cover
Zivert,2017,1,Женский,Поп,Москва,Центральный,12401399,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Zivert_%28%D0%BF%D1%80%D0%B5%D1%81%D1%81-%D0%BF%D0%BE%D0%B4%D1%85%D0%BE%D0%B4%29_%D0%BD%D0%B0_VK_Fest_5_%28cropped%29.jpg/330px-Zivert_%28%D0%BF%D1%80%D0%B5%D1%81%D1%81-%D0%BF%D0%BE%D0%B4%D1%85%D0%BE%D0%B4%29_%D0%BD%D0%B0_VK_Fest_5_%28cropped%29.jpg,Life,https://music.yandex.ru/album/6109461/track/45499814,
ARTIK & ASTI,2011,2,Смешанный,Поп,Киев,Украина,11202787,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/ARTIK_%26_SEVILLE.jpg/330px-ARTIK_%26_SEVILLE.jpg,Грустный дэнс (feat. Артём Качер),https://music.yandex.ru/search?text=Artik%20%26%20Asti%20Грустный%20дэнс,
Дима Билан,2003,1,Мужской,Поп,Усть-Джегута,Северо-Кавказский,10148471,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%D0%9A%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82_40._%D0%94%D0%B8%D0%BC%D0%B0_%D0%91%D0%B8%D0%BB%D0%B0%D0%BD._%D0%B2_%D0%A1%D0%9F%D0%B1_%2815%29.jpg/330px-%D0%9A%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82_40._%D0%94%D0%B8%D0%BC%D0%B0_%D0%91%D0%B8%D0%BB%D0%B0%D0%BD._%D0%B2_%D0%A1%D0%9F%D0%B1_%2815%29.jpg,Believe (Never Let You Go),https://music.yandex.ru/album/3501250/track/29146052,
SEREBRO,2007,3,Женский,Поп,Москва,Центральный,9280980,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Serebro_%28April_2016%29.jpg/330px-Serebro_%28April_2016%29.jpg,Мама Люба,https://music.yandex.ru/search?text=Serebro%20Мама%20Люба,
Баста,2006,1,Мужской,Рэп/Хип-хоп,Ростов-на-Дону,Южный,9000000,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/%D0%91%D0%B0%D1%81%D1%82%D0%B0_%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%28cropped%29.jpg/330px-%D0%91%D0%B0%D1%81%D1%82%D0%B0_%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%28cropped%29.jpg,На заре,https://music.yandex.ru/search?text=Баста%20На%20заре,
Руки Вверх!,1996,2,Мужской,Поп,Самара,Приволжский,8750748,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/%D0%A0%D1%83%D0%BA%D0%B8_%D0%B2%D0%B2%D0%B5%D1%80%D1%85.jpg/330px-%D0%A0%D1%83%D0%BA%D0%B8_%D0%B2%D0%B2%D0%B5%D1%80%D1%85.jpg,Малыш,https://music.yandex.ru/search?text=Руки%20Вверх%20Малыш,
Icegergert,2021,1,Мужской,Рэп/Хип-хоп,Братск,Сибирский,8388228,,Наследство (feat. SKY RAE),https://music.yandex.ru/search?text=Icegergert%20Наследство,
Miyagi & Эндшпиль,2015,2,Мужской,Рэп/Хип-хоп,Владикавказ,Северо-Кавказский,8235786,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/MiyaGi_%26_%D0%AD%D0%BD%D0%B4%D1%88%D0%BF%D0%B8%D0%BB%D1%8C_performing_live_in_a_concert_%282016%29.png/330px-MiyaGi_%26_%D0%AD%D0%BD%D0%B4%D1%88%D0%BF%D0%B8%D0%BB%D1%8C_performing_live_in_a_concert_%282016%29.png,I Got Love (feat. Рем Дигга),https://music.yandex.ru/search?text=Miyagi%20Эндшпиль%20I%20Got%20Love,
Jakone,2017,1,Мужской,Рэп/Хип-хоп,Ростов-на-Дону,Южный,8142521,,Асфальт,https://music.yandex.ru/search?text=Jakone%20Асфальт,
Егор Крид,2011,1,Мужской,Поп,Пенза,Приволжский,8110320,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/%D0%95%D0%B3%D0%BE%D1%80_%D0%9A%D1%80%D0%B8%D0%B4_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg/330px-%D0%95%D0%B3%D0%BE%D1%80_%D0%9A%D1%80%D0%B8%D0%B4_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg,Самая самая,https://music.yandex.ru/track/24183545,
BEARWOLF,2023,1,Женский,Электроника,Владивосток,Дальневосточный,8103514,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bearwolf_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg/330px-Bearwolf_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg,GODZILLA,https://music.yandex.ru/search?text=BEARWOLF%20GODZILLA,
MACAN,2019,1,Мужской,Рэп/Хип-хоп,Москва,Центральный,8100000,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Macan_in_June_2021.png/330px-Macan_in_June_2021.png,Веселящий газ,https://music.yandex.ru/search?text=Macan%20Веселящий%20газ,
Макс Корж,2012,1,Мужской,Рэп/Хип-хоп,Лунинец,Беларусь,7945625,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Max-Korzh-2018-11-09-0009_cropped.jpg/330px-Max-Korzh-2018-11-09-0009_cropped.jpg,Жить в кайф,https://music.yandex.ru/track/32038184,
ANNA ASTI,2022,1,Женский,Поп,Черкассы,Украина,7597241,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%9A%D1%80%D1%83%D1%82%D0%BE%D0%B9_%D0%B8_Anna_Asti_%D0%BD%D0%B0_%D0%A0%D0%9D%D0%9C%D0%9F_-_2025_%28cropped_anna%29.jpg/330px-%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%9A%D1%80%D1%83%D1%82%D0%BE%D0%B9_%D0%B8_Anna_Asti_%D0%BD%D0%B0_%D0%A0%D0%9D%D0%9C%D0%9F_-_2025_%28cropped_anna%29.jpg,Феникс,https://music.yandex.ru/artist/15691816/track/109108947,
GUF,1998,1,Мужской,Рэп/Хип-хоп,Москва,Центральный,7436618,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Guf3_%28cropped%29.jpg/330px-Guf3_%28cropped%29.jpg,Сплетни,https://music.yandex.ru/search?text=GUF%20Сплетни,
Григорий Лепс,1995,1,Мужской,Эстрада,Сочи,Южный,7223086,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Grigory_Leps_LIVE_2025.jpg/330px-Grigory_Leps_LIVE_2025.jpg,Рюмка водки на столе,https://music.yandex.ru/search?text=Григорий%20Лепс%20Рюмка%20водки%20на%20столе,
Ваня Дмитриенко,2020,1,Мужской,Поп,Красноярск,Сибирский,7212495,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/%D0%92%D0%B0%D0%BD%D1%8F_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1_%28cropped%29.jpg/330px-%D0%92%D0%B0%D0%BD%D1%8F_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1_%28cropped%29.jpg,Венера-Юпитер,https://music.yandex.ru/search?text=Ваня%20Дмитриенко%20Венера-Юпитер,
КИНО,1982,4,Мужской,Рок,Санкт-Петербург,Северо-Западный,7166534,https://upload.wikimedia.org/wikipedia/commons/4/4e/Victor_Tsoi_1986_cropped.jpg,Группа крови,https://music.yandex.ru/search?text=%D0%9A%D0%B8%D0%BD%D0%BE%20%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0%20%D0%9A%D1%80%D0%BE%D0%B2%D0%B8,
Джиган,2007,1,Мужской,Рэп/Хип-хоп,Одесса,Украина,7090174,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/%D0%94%D0%B6%D0%B8%D0%B3%D0%B0%D0%BD_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg/330px-%D0%94%D0%B6%D0%B8%D0%B3%D0%B0%D0%BD_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg,ДНК,https://music.yandex.ru/search?text=Джиган%20ДНК,
JONY,2018,1,Мужской,R&B,Баку,Азербайджан,7080840,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_Jony.jpg/330px-%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_Jony.jpg,Комета,https://music.yandex.ru/album/8750133,
Мари Краймбрери,2017,1,Женский,Поп,Кривой Рог,Украина,6817457,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/MK_Banner_2.jpg/330px-MK_Banner_2.jpg,Пряталась в ванной,https://music.yandex.ru/search?text=Мари%20Краймбрери%20Пряталась%20в%20ванной,
Big Baby Tape,2017,1,Мужской,Рэп/Хип-хоп,Москва,Центральный,6807915,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Big_Baby_Tape_%D0%BD%D0%B0_Teen_City_Day_%282023.05.27%29_%28cropped%29.jpg/330px-Big_Baby_Tape_%D0%BD%D0%B0_Teen_City_Day_%282023.05.27%29_%28cropped%29.jpg,Gimme The Loot,https://music.yandex.ru/track/45239765,
МакSим,2006,1,Женский,Поп,Казань,Приволжский,6682884,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/MakSim_%282024%3B_2%29_%28cropped%29.png/330px-MakSim_%282024%3B_2%29_%28cropped%29.png,Знаешь ли ты,https://music.yandex.ru/search?text=МакSим%20Знаешь%20ли%20ты,
IOWA,2009,4,Смешанный,Поп,Могилёв,Беларусь,6664668,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IOWA_%D0%B3%D1%80%D1%83%D0%BF%D0%B0.jpg/330px-IOWA_%D0%B3%D1%80%D1%83%D0%BF%D0%B0.jpg,Улыбайся,https://music.yandex.ru/search?text=IOWA%20Улыбайся,
Ленинград,1999,10,Смешанный,Рок,Санкт-Петербург,Северо-Западный,6617550,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Leningrad_logo_2019.gif/330px-Leningrad_logo_2019.gif,В Питере — пить,https://music.yandex.ru/track/28916414,
Король и Шут,1994,5,Мужской,Панк,Санкт-Петербург,Северо-Западный,6514568,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%B8_%D0%A8%D1%83%D1%82_%D0%BD%D0%B0_%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%82_2011.jpg/330px-%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%B8_%D0%A8%D1%83%D1%82_%D0%BD%D0%B0_%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%82_2011.jpg,Прыгну со скалы,https://music.yandex.ru/search?text=Король%20и%20Шут%20Прыгну%20со%20скалы,
Люся Чеботина,2016,1,Женский,Поп,Петропавловск-Камчатский,Дальневосточный,6384902,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/%D0%9B%D1%8E%D1%81%D1%8F_%D0%A7%D0%B5%D0%B1%D0%BE%D1%82%D0%B8%D0%BD%D0%B0_%283%29_%D0%BD%D0%B0_%D0%B3%D1%80%D0%B0%D0%BD%D0%B4-%D1%84%D0%B8%D0%BD%D0%B0%D0%BB%D0%B5_%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D1%81%D1%86%D0%B5%D0%BD%D0%B0_%282022%29.jpg/330px-%D0%9B%D1%8E%D1%81%D1%8F_%D0%A7%D0%B5%D0%B1%D0%BE%D1%82%D0%B8%D0%BD%D0%B0_%283%29_%D0%BD%D0%B0_%D0%B3%D1%80%D0%B0%D0%BD%D0%B4-%D1%84%D0%B8%D0%BD%D0%B0%D0%BB%D0%B5_%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D1%81%D1%86%D0%B5%D0%BD%D0%B0_%282022%29.jpg,Солнце Монако,https://music.yandex.ru/search?text=Люся%20Чеботина%20Солнце%20Монако,
Полина Гагарина,2007,1,Женский,Поп,Москва,Центральный,6281467,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/%D0%9F%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0_%D0%93%D0%B0%D0%B3%D0%B0%D1%80%D0%B8%D0%BD%D0%B0_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%B2%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_Big_Love_Show_2018_%D0%B2_%D0%A1%D0%9F%D0%B1_%28cropped%29.jpg/330px-%D0%9F%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0_%D0%93%D0%B0%D0%B3%D0%B0%D1%80%D0%B8%D0%BD%D0%B0_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%B2%D0%BE%D0%BB%D0%B5_%D0%BD%D0%B0_Big_Love_Show_2018_%D0%B2_%D0%A1%D0%9F%D0%B1_%28cropped%29.jpg,Million Voices (Миллион голосов),https://music.yandex.ru/search?text=Полина%20Гагарина%20Million%20Voices,
Скриптонит,2015,1,Мужской,Рэп/Хип-хоп,"Ленинский (Экибастуз), Павлодарская область",Казахстан,5909623,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Scriptonite.jpg/330px-Scriptonite.jpg,Кем ты стал,https://music.yandex.ru/search?text=%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%BD%D0%B8%D1%82%20%D0%9A%D0%B5%D0%BC%20%D1%82%D1%8B%20%D1%81%D1%82%D0%B0%D0%BB,
Каспийский Груз,2013,2,Мужской,Рэп/Хип-хоп,Баку,Азербайджан,5581079,,Всё за 1$ (feat. Guf),https://music.yandex.ru/search?text=Каспийский%20Груз%20Все%20за%201,
ВИА Гра,2000,3,Женский,Поп,Киев,Украина,5533887,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%C2%AB%D0%92%D0%98%D0%90_%D0%93%D1%80%D0%B0%C2%BB_%282019%29.jpg/330px-%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%C2%AB%D0%92%D0%98%D0%90_%D0%93%D1%80%D0%B0%C2%BB_%282019%29.jpg,Попытка №5,https://music.yandex.ru/search?text=ВИА%20Гра%20Попытка%205,
Михаил Круг,1989,1,Мужской,Шансон,Тверь (Калинин),Центральный,5493811,https://upload.wikimedia.org/wikipedia/ru/thumb/a/a9/Michail_krug.jpg/330px-Michail_krug.jpg,Владимирский централ,https://music.yandex.ru/search?text=Михаил%20Круг%20Владимирский%20централ,
MORGENSHTERN,2018,1,Мужской,Рэп/Хип-хоп,Уфа,Приволжский,5410693,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/%D0%90%D0%BB%D0%B8%D1%88%D0%B5%D1%80_%D0%9C%D0%BE%D1%80%D0%B3%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D1%80%D0%BD_%28cropped%29.jpg/330px-%D0%90%D0%BB%D0%B8%D1%88%D0%B5%D1%80_%D0%9C%D0%BE%D1%80%D0%B3%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D1%80%D0%BD_%28cropped%29.jpg,Cadillac,https://music.yandex.ru/search?text=MORGENSHTERN%20Cadillac,
Тимати,2006,1,Мужской,R&B,Москва,Центральный,5362063,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/%D0%A2%D0%B8%D0%BC%D0%B0%D1%82%D0%B8_%D0%BD%D0%B0_Big_Love_Show_2018_%D0%B2_%D0%A1%D0%9F%D0%B1_.jpg/330px-%D0%A2%D0%B8%D0%BC%D0%B0%D1%82%D0%B8_%D0%BD%D0%B0_Big_Love_Show_2018_%D0%B2_%D0%A1%D0%9F%D0%B1_.jpg,Welcome to St. Tropez,https://music.yandex.ru/search?text=Тимати%20Welcome%20to%20St.%20Tropez,
DJ SMASH,1996,1,Мужской,Электроника,Пермь,Приволжский,5321566,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/The_opening_of_the_Confederations_Cup_2017_%284%29_%28cropped%29.jpg/330px-The_opening_of_the_Confederations_Cup_2017_%284%29_%28cropped%29.jpg,Moscow Never Sleeps,https://music.yandex.ru/search?text=DJ%20SMASH%20Moscow%20Never%20Sleeps,
Три дня дождя,2019,4,Мужской,Рок,Кызыл,Сибирский,5187604,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/%D0%A2%D1%80%D0%B8_%D0%B4%D0%BD%D1%8F_%D0%B4%D0%BE%D0%B6%D0%B4%D1%8F_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg/330px-%D0%A2%D1%80%D0%B8_%D0%B4%D0%BD%D1%8F_%D0%B4%D0%BE%D0%B6%D0%B4%D1%8F_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg,Демоны,https://music.yandex.ru/search?text=Три%20дня%20дождя%20Демоны,
Nautilus Pompilius,1983,6,Мужской,Рок,Свердловск (ныне Екатеринбург),Уральский,5187309,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Nau_80.jpg/330px-Nau_80.jpg,Скованные одной цепью,https://music.yandex.ru/search?text=Nautilus%20Pompilius%20Скованные%20одной%20цепью,
Би-2,1998,6,Мужской,Рок,Бобруйск,Беларусь,5181722,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/B2band_chartova_nazipov_2018.jpg/330px-B2band_chartova_nazipov_2018.jpg,Полковнику никто не пишет,https://music.yandex.ru/search?text=Би-2%20Полковнику%20никто%20не%20пишет,
Любэ,1989,8,Мужской,Рок,Люберцы,Центральный,5091000,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%D0%9B%D1%8E%D0%B1%D1%8D.jpg/330px-%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0_%D0%9B%D1%8E%D0%B1%D1%8D.jpg,Конь,https://music.yandex.ru/album/219826/track/2215069,
Нюша,2009,1,Женский,Поп,Москва,Центральный,5066109,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/AFjzdUAof6U.jpg/330px-AFjzdUAof6U.jpg,Выбирать чудо,https://music.yandex.ru/search?text=%D0%9D%D1%8E%D1%88%D0%B0%20%D0%92%D1%8B%D0%B1%D0%B8%D1%80%D0%B0%D1%82%D1%8C%20%D1%87%D1%83%D0%B4%D0%BE,
Сплин,1994,5,Мужской,Рок,Санкт-Петербург,Северо-Западный,5028748,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Splean-2010-07-30.jpg/330px-Splean-2010-07-30.jpg,Моё сердце,https://music.yandex.ru/search?text=Сплин%20Моё%20сердце,
Ёлка,2004,1,Женский,Поп,Ужгород,Украина,4972082,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Yolka_2026.jpg/330px-Yolka_2026.jpg,Прованс,https://music.yandex.ru/track/3181160/album/336848,
Сектор Газа,1989,5,Мужской,Панк,Воронеж,Центральный,4935854,https://upload.wikimedia.org/wikipedia/ru/thumb/1/18/%D0%A1%D0%B5%D0%BA%D1%82%D0%BE%D1%80_%D0%B3%D0%B0%D0%B7%D0%B0_1996.jpg/330px-%D0%A1%D0%B5%D0%BA%D1%82%D0%BE%D1%80_%D0%B3%D0%B0%D0%B7%D0%B0_1996.jpg,Туман,https://music.yandex.ru/search?text=Сектор%20Газа%20Туман,
Валерий Меладзе,1994,1,Мужской,Эстрада,Батуми,Грузия,4674567,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Valeriy_Meladze_photoshooting_at_Laima_Rendez_Vous_Jurmala_2017.jpg/330px-Valeriy_Meladze_photoshooting_at_Laima_Rendez_Vous_Jurmala_2017.jpg,"Салют, Вера",https://music.yandex.ru/artist/41174/tracks,
Город 312,2005,5,Смешанный,Рок,Бишкек,Кыргызстан,4608538,,Останусь,https://music.yandex.ru/track/1490917,
Клава Кока,2015,1,Женский,Поп,Екатеринбург,Уральский,4548190,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%D0%9A%D0%BB%D0%B0%D0%B2%D0%B0_%D0%9A%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg/330px-%D0%9A%D0%BB%D0%B0%D0%B2%D0%B0_%D0%9A%D0%BE%D0%BA%D0%B0_%D0%BD%D0%B0_VK_Fest_2025_%D0%B2_%D0%A1%D0%9F%D0%B1.jpg,Краш (feat. Niletto),https://music.yandex.ru/search?text=Клава%20Кока%20Краш,
Агата Кристи,1988,4,Мужской,Рок,Свердловск (Екатеринбург),Уральский,4469964,https://upload.wikimedia.org/wikipedia/ru/6/69/%D0%A1%D0%BE%D1%81%D1%82%D0%B0%D0%B2_%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B_%D0%90%D0%B3%D0%B0%D1%82%D0%B0_%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8_%D0%B2_1990-2001_%D0%B3%D0%B3.jpg,Как на войне,https://music.yandex.ru/search?text=Агата%20Кристи%20Как%20на%20войне,
